link,time,tweet
https://x.com/ecoyuri/status/1470713619185037313,2021-12-14T11:13:46+00:00,主催のパネルディスカッションウェブに登壇。「安全で健康な地球全体の未来へ近づけるための4つの将来のシナリオとアクション」について意見交換しました
https://x.com/ecoyuri/status/1472351936381067269,2021-12-18T23:43:51+00:00,3年ものの豪華なポインセチア。 八丈高校園芸科の皆さんから知事室に届きました。 ありがとうございます
https://x.com/hosoyashoko0207/status/1474650604937302019,2021-12-25T07:57:56+00:00,小池都知事・細谷しょうこ演説 #東久留米市長選挙 の細谷しょうこ演説会東久留米駅 市政を力強く前に進めるためには東京都との力強いパートナーシップも重要です。#小池百合子都知事 と連携し、進めていきます。ふたりによる #東久留米の未来ビジョン
https://x.com/miyasaka/status/1475470045455466500,2021-12-27T14:14:06+00:00,国際オリンピック委員会は東京2020大会のサステナビリティ・レポートを発表しカーボン・ネガティブな大会となったことを明らかに。2030年以降のすべてのオリンピック大会にカーボン・マイナス認定が必要であることを義務付け
https://x.com/ecoyuri/status/1484896495383945220,2022-01-22T14:31:27+00:00,「自宅療養者向けハンドブック改訂版」はこちらからアクセスお願いします
https://x.com/ecoyuri/status/1512798153426169862,2022-04-09T14:22:40+00:00,東京体育館での「第6回ボッチャ東京カップ」開会式。0大会日本代表「火ノ玉」や強豪タイ代表、田村敦さん率いるチームや新日本プロレチームなど、共生社会を具現する大会に。本間朋晃さんのど迫力選手宣誓声に会場が沸きました
https://x.com/ecoyuri/status/1520011255934709762,2022-04-29T12:04:58+00:00,都庁でタレントのフワちゃんや、ティモンディさんが参加して、節電が大切になる夏の対策に、クールビズのスタイルや、節電に繋がる取り組みを紹介しました。 をキーワードに、電力を減らす、創る、蓄める取り組みを。 小池都知事 根っからのクールビズフワちゃんと節電呼びかけ
https://x.com/ecoyuri/status/1524742920934662144,2022-05-12T13:26:55+00:00,! マリン・フィンランド首相、ユースフ・ビン・アラウィー前オマーン外相、ルース元米大使、ハント・アルゼンチン大使。対外的な活動も少しずつ動き出しました
https://x.com/ecoyuri/status/1527074996970876929,2022-05-18T23:53:45+00:00,小池都知事が中東訪問から帰国アブダビとの教育交流「道筋できた」 より
https://x.com/ecoyuri/status/1528372547774910465,2022-05-22T13:49:45+00:00,より
https://x.com/ecoyuri/status/1556947430288986112,2022-08-09T10:16:08+00:00,イッセイミヤケ世界的ファッションデザイナー・三宅一生さん5日に肝細胞がんで死去84歳日テレ 名誉都民。 超愛用者として、謹んで哀悼と感謝の意を表します。 イッセイミヤケ世界的ファッションデザイナー・三宅一生さん5日に肝細胞がんで死去84歳日テレ
https://x.com/ecoyuri/status/1568983456595718146,2022-09-11T15:23:01+00:00,20のコミュニケをバリでの20会議にて届けてもらうセレモニー。インドネシアの大臣は老いも若きも猛烈に英語で話す。これ、今どきの国際会議の標準
https://x.com/ecoyuri/status/1581571256255594496,2022-10-16T09:02:26+00:00,第一回東京レガシーハーフマラソン開催を記念して、国立競技場のトラックを五輪メダリストや未来のアスリートとともに走ってきました。約1万5千人のランナーが東京パラマラソンに近いコースを快走されました
https://x.com/ecoyuri/status/1581994863561650176,2022-10-17T13:05:42+00:00,ノルウェーのオスロ市長(左)、駐日大使と。随行者の方も女性でした。国会・予算委員会の景色とはだいぶ違います
https://x.com/ecoyuri/status/1585995838459117568,2022-10-28T14:04:08+00:00,連合東京の会議でご挨拶
https://x.com/ecoyuri/status/1585997225770876930,2022-10-28T14:09:39+00:00,都の産業交流展で表彰。月面の調査船や物流ロボットなど、実用に適していたり、夢があったりの新技術が続。大化けしてほしい
https://x.com/ecoyuri/status/1585997706027073536,2022-10-28T14:11:34+00:00,お茶の水大学で講演。環境と金融の組み合わせで社会を変える
https://x.com/ecoyuri/status/1585999565979021313,2022-10-28T14:18:57+00:00,たまには受賞することも。印刷業界から、グリーン印刷を発注する良き発注者として、ゴールドプライスを受賞。環境大臣で進めた政策が、立場が変わり、受賞する側に
https://x.com/ecoyuri/status/1586718020885323776,2022-10-30T13:53:50+00:00,都庁に程近い西新宿に水素ステーション運営サイトを設置。地域の皆さんや子どもたちが燃料電池車の体験やミニカーレースなどで水素を体感していただきました。スイソンやエネゴリ君も参加
https://x.com/ecoyuri/status/1586722238895894528,2022-10-30T14:10:36+00:00,東京唯一の1チーム、東京グレートベアーズのホーム開幕戦で始球式。ジャンプサーブの心構えはできていましたが、セッターにヒョイと投げ、あとはトス、スパイクで決まり。とはスポーツで東京を盛り上げる連携協定を結んでいます。頑張って
https://x.com/ecoyuri/status/1588505122404909057,2022-11-04T12:15:08+00:00,赤坂のゲーテ・インスティトゥートで、日独文化協力イベント。シュタインマイヤー大統領夫妻らと
https://x.com/ecoyuri/status/1591439986594746368,2022-11-12T14:37:14+00:00,授業が終われば、皆んなで教室掃除。学級会や体操など、日本で当たり前のことにエジプトが注目。50のモデル校で特活が行われている。歌やダンスで大歓迎を受けました。カイロ市内のエルガラア校で
https://x.com/ecoyuri/status/1591441819316862981,2022-11-12T14:44:31+00:00,カイロ市から郊外に続く幹線道路はシンゾー・アベ道路と名付けられている。すでに2年前から進められ、今も建設続行中。真っ赤な鳥居風が目に鮮やかだ。エジプトでの安倍元総理の存在感はとにかく大きい
https://x.com/tochokankyo/status/1595612349158727680,2022-11-24T02:56:43+00:00,# 星野リゾート代表 #星野佳路 さん 資源循環を加速し、循環型社会へ移行していく上で、企業にはどのような対応が求められるのでしょうか？ 星野リゾートが取り組む環境対策は、利益という点で言えば必ずしもプラスになっているわけではありません
https://x.com/ecoyuri/status/1597253051873574912,2022-11-28T15:36:17+00:00,スタートアップに最も身近な金融機関頑張ってほしい
https://x.com/ecoyuri/status/1606636885237207040,2022-12-24T13:04:17+00:00,東京都現代美術館( 岡素之館長)で来年5月末まで開催中の「クリスチャン・ディオール、夢のクチュリエ」展の内覧会に。過去から現在に至るまでの作品の数が魔法のような空間で展示され、その素晴らしさに圧倒されました
https://x.com/ecoyuri/status/1606639131010170881,2022-12-24T13:13:13+00:00,第2回パラスポーツの振興とバリアフリー推進に向けた懇談会。谷垣禎一名誉顧問もお元気にパラ応援大使の皆さんとご出席いただきました。オンラインでのご参加はイルカさんと小谷実可子さん
https://x.com/ecoyuri/status/1609191098626310148,2022-12-31T14:13:49+00:00,今年も都立農産高等学校の皆さんから素晴らしい門松とシクラメンが届きました。 本年もあとわずか。お世話になりました皆様に感謝申し上げます。 新年もよろしくお願いいたします。良き年となりますよう
https://x.com/ecoyuri/status/1802174360347959482,2024-06-16T03:00:24+00:00,今朝は狛江市総合水防訓練へ。ドラマ「岸辺のアルバム」で今も印象深い狛江です。東京消防庁のヘリコプターやドローンも参加し、地域の皆様と共に行う水防訓練は圧巻です。 「備えよ、常に」が第一！都民の財産と命を守る首都東京の強靱化を爆速で進めます
https://x.com/ecoyuri/status/1802566163295264946,2024-06-17T04:57:18+00:00,ミセスユニバースジャパン2024のファイナリストの皆様に訪問いただきました。家事に育児に仕事に日奮闘しながら、輝く皆様のご健闘をお祈りします。全ての女性は可能性の塊。もっと、女性が輝く東京へ
https://x.com/ecoyuri/status/1803220920183693651,2024-06-19T00:19:04+00:00,プラチナキャリアセンターが港区虎ノ門に開所しました。50歳以上のミドルシニアの人材が、企業に業務委託での副業や兼業など新たな形態の働き方を通じて自らのスキルを活かせるよう後押しします。ミドルシニア人材のキャリアシフトと人材不足を解消していきます
https://x.com/ecoyuri/status/1803391841729126462,2024-06-19T11:38:15+00:00,日本記者クラブ主催の共同記者会見・公開討論会に出席しました。私の政策テーマは、都民の命と暮らし、また経済を守りたいという思いから「首都防衛」を掲げました。今後も東京の将来像について、積極的に発信をしていきます
https://x.com/ecoyuri/status/1803396594974523475,2024-06-19T11:57:08+00:00,40代の頃に子宮筋腫が見つかり、子宮を全摘出しました。正直、手術直後は隣の産科から聞こえる赤ちゃんの声を聞いて喪失感を覚えたものです。でも、だからこそ「産みたい」と思っている人をサポートしたい。これからも無痛分娩費用の助成など、妊娠出産の経済的負担を軽減していきます
https://x.com/ecoyuri/status/1804491724741566966,2024-06-22T12:28:47+00:00,八丈島では島内各地の視察も行いました。 放牧酪農をしているゆーゆー牧場では、豊かな自然の中で健やかに逞しく生きるジャージー牛の「ユリコ」に、八丈島の明日葉などの草やりをさせていただきました。ジャージーミルクヨーグルトは絶品です！ 農園では八丈フルーツレモンの生産を拝見しました。苦味が少なくて香りが良く、なんと皮ごと食べられる大ぶりなレモンで、様な料理に合うそうです。色づく季節になると、オレンジがかった黄色の実が緑に映えるのが、八丈らしい景色の一つでもあります。 #これからも島民のために島民とともに #都知事選 #小池ゆりこ
https://x.com/ecoyuri/status/1804761570972754242,2024-06-23T06:21:04+00:00,子育てする方を応援し、全ての子どもたちを大切に育む東京にしていくことが、都知事として大事にしてきた政策のひとつです。今朝の個人演説会には、多くのママパパたちにお集まりいただきました。 これまで私が、特に力を入れて取り組んできた子育て支援、教育支援、子ども政策、女性の生き方の選択肢を増やす支援などを中心に、経済政策、防災対策、デジタル、ワイズスペンディングなどについてもお話をしました。 行財政改革により生み出した財源を、未来へとつないでいくために投資していくが私の「東京大改革」です。 今日は赤ちゃんたちの可愛い表情や、子どもたちの笑顔と声が聞こえる演説会となりました。さらに前に進む勇気を貰ったひと時でした。 #都知事選 #小池ゆりこ
